,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
136,2023-04-14 13:00:00,Patch 6.06,BO3,https://www.vlr.gg/183952/giants-gaming-vs-bbl-esports-champions-tour-2023-emea-league-w3,2,0,2,"Split
PICK",37:20,Giants Gaming,13,BBL Esports,3,1,1,3 (1),2 (1),0 (0),2 (0),3 (3),12 (2),10 (9),0 (0)
137,2023-04-14 15:15:00,Patch 6.06,BO3,https://www.vlr.gg/183953/team-vitality-vs-karmine-corp-champions-tour-2023-emea-league-w3,2,0,1,"Ascent
PICK",47:34,Team Vitality,13,Karmine Corp,2,2,0,2 (2),3 (0),0 (0),3 (0),3 (2),4 (0),10 (9),5 (2)
138,2023-04-14 15:15:00,Patch 6.06,BO3,https://www.vlr.gg/183953/team-vitality-vs-karmine-corp-champions-tour-2023-emea-league-w3,2,0,2,"Split
PICK",45:45,Team Vitality,13,Karmine Corp,6,1,1,2 (1),3 (1),2 (0),1 (0),4 (3),5 (2),11 (9),10 (3)
139,2023-04-19 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/184037/team-heretics-vs-team-liquid-champions-tour-2023-emea-league-w4,0,2,1,"Split
PICK",1:07:55,Team Heretics,8,Team Liquid,13,1,1,3 (1),3 (1),5 (0),0 (0),2 (2),5 (3),11 (5),13 (9)
140,2023-04-19 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/184037/team-heretics-vs-team-liquid-champions-tour-2023-emea-league-w4,0,2,2,"Fracture
PICK",1:15:41,Team Heretics,15,Team Liquid,17,0,2,5 (1),2 (2),0 (0),3 (1),1 (0),8 (3),26 (14),19 (11)
141,2023-04-20 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184039/fut-esports-vs-giants-gaming-champions-tour-2023-emea-league-w4,0,2,1,"Icebox
PICK",54:31,FUT Esports,5,Giants Gaming,13,2,0,3 (2),4 (1),2 (0),1 (1),4 (1),0 (0),9 (2),13 (11)
142,2023-04-20 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184039/fut-esports-vs-giants-gaming-champions-tour-2023-emea-league-w4,0,2,2,"Split
PICK",1:00:00,FUT Esports,11,Giants Gaming,13,0,2,5 (1),2 (2),2 (0),3 (0),3 (2),7 (4),14 (8),12 (7)
143,2023-04-21 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184040/karmine-corp-vs-natus-vincere-champions-tour-2023-emea-league-w4,0,2,1,"Ascent
PICK",1:14:46,Karmine Corp,11,Natus Vincere,13,0,2,4 (0),2 (2),0 (0),1 (0),4 (2),8 (6),16 (9),13 (5)
144,2023-04-21 12:00:00,Patch 6.06,BO3,https://www.vlr.gg/184040/karmine-corp-vs-natus-vincere-champions-tour-2023-emea-league-w4,0,2,2,"Lotus
PICK",57:11,Karmine Corp,7,Natus Vincere,13,1,1,3 (1),3 (1),1 (0),1 (0),5 (2),4 (3),11 (4),12 (9)
145,2023-04-21 15:00:00,Patch 6.06,BO3,https://www.vlr.gg/184041/bbl-esports-vs-team-vitality-champions-tour-2023-emea-league-w4,2,0,1,"Ascent
PICK",55:29,BBL Esports,13,Team Vitality,8,2,0,2 (2),4 (1),2 (1),0 (0),10 (5),3 (1),7 (5),14 (6)
146,2023-04-21 15:00:00,Patch 6.06,BO3,https://www.vlr.gg/184041/bbl-esports-vs-team-vitality-champions-tour-2023-emea-league-w4,2,0,2,"Haven
PICK",50:02,BBL Esports,13,Team Vitality,9,2,0,2 (2),2 (0),0 (0),3 (0),8 (5),7 (2),12 (6),10 (7)
147,2023-04-26 14:00:00,Patch 6.06,BO3,https://www.vlr.gg/184042/giants-gaming-vs-team-liquid-champions-tour-2023-emea-league-w5,1,2,1,"Ascent
PICK",1:12:48,Giants Gaming,13,Team Liquid,11,1,1,5 (3),3 (2),3 (2),1 (1),2 (0),5 (2),14 (8),15 (6)
