,Date,Patch,Format,match_url,Maps_Won_1,Maps_Won_2,Map Number,Map,Duration,Team1,RoundsWon1,Team2,RoundsWon2,PistolWin1,PistolWin2,EcoWin1,Ecowin2,SemiEcoWin1,SemiEcoWin2,SemiBuyWin1,SemiBuyWin2,BuyWin1,BuyWin2
1259,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150163/cloud9-white-vs-ariana-grande-perfume-champions-tour-game-changers-series-iii-north-america-uro,2,0,1,Haven,25:29,Cloud9 White,13,Ariana Grande Perfume,0,2,0,2 (2),3 (0),0 (0),3 (0),2 (2),1 (0),9 (9),6 (0)
1260,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150163/cloud9-white-vs-ariana-grande-perfume-champions-tour-game-changers-series-iii-north-america-uro,2,0,2,Bind,33:08,Cloud9 White,13,Ariana Grande Perfume,4,2,0,2 (2),3 (1),1 (1),1 (0),3 (1),8 (2),11 (9),5 (1)
1261,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150164/fake-aussies-vs-immortals-champions-tour-game-changers-series-iii-north-america-uro16,0,2,1,Ascent,29:14,Fake Aussies,4,Immortals,13,0,2,4 (0),2 (2),2 (0),0 (0),5 (1),4 (2),6 (3),11 (9)
1262,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150164/fake-aussies-vs-immortals-champions-tour-game-changers-series-iii-north-america-uro16,0,2,2,Icebox,28:34,Fake Aussies,3,Immortals,13,1,1,4 (1),3 (1),1 (0),0 (0),3 (1),3 (2),8 (1),10 (10)
1263,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150165/evil-geniuses-gc-vs-tactical-throwers-champions-tour-game-changers-series-iii-north-america-uro1,2,0,1,Haven,25:21,Evil Geniuses GC,13,Tactical Throwers,1,2,0,2 (2),3 (0),0 (0),3 (0),3 (3),3 (0),9 (8),5 (1)
1264,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150165/evil-geniuses-gc-vs-tactical-throwers-champions-tour-game-changers-series-iii-north-america-uro1,2,0,2,Pearl,29:46,Evil Geniuses GC,13,Tactical Throwers,3,2,0,2 (2),3 (0),0 (0),4 (0),4 (4),1 (1),10 (7),8 (2)
1265,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150166/misfits-black-vs-team-mystic-venus-champions-tour-game-changers-series-iii-north-america-uro16,2,0,1,Breeze,24:52,Misfits Black,13,Team Mystic Venus,3,2,0,2 (2),3 (0),1 (0),4 (1),4 (3),4 (2),9 (8),5 (0)
1266,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150166/misfits-black-vs-team-mystic-venus-champions-tour-game-changers-series-iii-north-america-uro16,2,0,2,Fracture,51:45,Misfits Black,15,Team Mystic Venus,13,2,0,2 (2),4 (0),3 (1),2 (1),5 (3),0 (0),18 (9),22 (12)
1267,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150167/shopify-rebellion-gc-vs-dart-monkeys-champions-tour-game-changers-series-iii-north-america-uro16,2,0,1,Breeze,38:36,Shopify Rebellion GC,13,dart monkeys,7,1,1,3 (1),3 (1),1 (1),2 (0),3 (2),6 (2),13 (9),9 (4)
1268,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150167/shopify-rebellion-gc-vs-dart-monkeys-champions-tour-game-changers-series-iii-north-america-uro16,2,0,2,Bind,30:53,Shopify Rebellion GC,13,dart monkeys,5,1,1,3 (1),3 (1),0 (0),1 (0),3 (2),6 (2),12 (10),8 (2)
1269,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150168/hamboigas-vs-complexity-gx3-champions-tour-game-changers-series-iii-north-america-uro16,0,2,1,Bind,30:44,Hamboigas,2,Complexity GX3,13,1,1,3 (1),3 (2),2 (0),0 (0),4 (0),2 (2),6 (1),10 (9)
1270,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150168/hamboigas-vs-complexity-gx3-champions-tour-game-changers-series-iii-north-america-uro16,0,2,2,Haven,33:20,Hamboigas,5,Complexity GX3,13,1,1,3 (1),3 (1),2 (0),0 (0),5 (2),3 (3),8 (2),12 (9)
1271,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150170/gen-g-black-vs-xset-purple-champions-tour-game-changers-series-iii-north-america-uro16,0,2,1,Breeze,56:32,Gen.G Black,11,XSET,13,2,0,2 (2),4 (0),2 (0),2 (0),7 (3),7 (5),13 (6),11 (8)
1272,2022-10-08 16:00:00,Patch 5.06,BO3,https://www.vlr.gg/150170/gen-g-black-vs-xset-purple-champions-tour-game-changers-series-iii-north-america-uro16,0,2,2,Pearl,38:04,Gen.G Black,3,XSET,13,0,2,3 (0),2 (2),2 (0),0 (0),4 (0),3 (3),7 (3),11 (8)
1273,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150171/cloud9-white-vs-immortals-champions-tour-game-changers-series-iii-north-america-ubqf,2,0,1,Haven,36:02,Cloud9 White,13,Immortals,6,2,0,2 (2),4 (0),1 (1),4 (1),6 (4),4 (2),10 (6),7 (3)
1274,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150171/cloud9-white-vs-immortals-champions-tour-game-changers-series-iii-north-america-ubqf,2,0,2,Ascent,36:21,Cloud9 White,13,Immortals,6,2,0,2 (2),4 (0),1 (1),3 (1),5 (4),6 (4),11 (6),6 (1)
1275,2022-10-08 18:15:00,Patch 5.06,BO3,https://www.vlr.gg/150172/evil-geniuses-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-ubqf,0,2,1,Haven,42:36,Evil Geniuses GC,6,Misfits Black,13,1,1,3 (1),3 (1),1 (0),1 (1),7 (3),3 (2),8 (2),12 (9)
1276,2022-10-08 18:15:00,Patch 5.06,BO3,https://www.vlr.gg/150172/evil-geniuses-gc-vs-misfits-black-champions-tour-game-changers-series-iii-north-america-ubqf,0,2,2,Ascent,45:38,Evil Geniuses GC,6,Misfits Black,13,1,1,3 (1),3 (1),0 (0),1 (0),7 (2),4 (3),9 (3),11 (9)
1277,2022-10-08 18:10:00,Patch 5.06,BO3,https://www.vlr.gg/150173/shopify-rebellion-gc-vs-complexity-gx3-champions-tour-game-changers-series-iii-north-america-ubq,0,2,1,Haven,31:00,Shopify Rebellion GC,4,Complexity GX3,13,0,2,3 (0),3 (2),1 (0),0 (0),7 (4),4 (3),6 (0),10 (8)
1278,2022-10-08 18:10:00,Patch 5.06,BO3,https://www.vlr.gg/150173/shopify-rebellion-gc-vs-complexity-gx3-champions-tour-game-changers-series-iii-north-america-ubq,0,2,2,Bind,38:56,Shopify Rebellion GC,6,Complexity GX3,13,0,2,3 (1),3 (2),2 (0),2 (2),4 (0),3 (2),10 (5),11 (7)
1279,2022-10-08 18:10:00,Patch 5.06,BO3,https://www.vlr.gg/150174/tsm-x-vs-xset-purple-champions-tour-game-changers-series-iii-north-america-ubqf,2,1,1,Pearl,44:07,TSM X,9,XSET,13,1,1,3 (1),3 (1),2 (0),2 (1),6 (2),3 (2),11 (6),14 (9)
1280,2022-10-08 18:10:00,Patch 5.06,BO3,https://www.vlr.gg/150174/tsm-x-vs-xset-purple-champions-tour-game-changers-series-iii-north-america-ubqf,2,1,2,Haven,39:30,TSM X,13,XSET,6,2,0,2 (2),4 (0),3 (1),0 (0),5 (4),5 (4),9 (6),10 (2)
1281,2022-10-08 18:10:00,Patch 5.06,BO3,https://www.vlr.gg/150174/tsm-x-vs-xset-purple-champions-tour-game-changers-series-iii-north-america-ubqf,2,1,3,Breeze,44:42,TSM X,13,XSET,10,1,1,3 (1),3 (1),0 (0),3 (1),5 (4),6 (2),15 (8),11 (6)
1282,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150175/gen-g-black-vs-one-mom-four-kittens-champions-tour-game-changers-series-iii-north-america-lr1,2,1,1,Haven,36:53,Gen.G Black,13,One Mom Four Kittens,5,1,1,3 (1),3 (1),0 (0),2 (0),2 (2),5 (2),13 (10),8 (2)
1283,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150175/gen-g-black-vs-one-mom-four-kittens-champions-tour-game-changers-series-iii-north-america-lr1,2,1,2,Bind,48:11,Gen.G Black,8,One Mom Four Kittens,13,1,1,3 (1),3 (1),1 (0),1 (0),5 (3),3 (2),12 (4),14 (10)
1284,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150175/gen-g-black-vs-one-mom-four-kittens-champions-tour-game-changers-series-iii-north-america-lr1,2,1,3,Ascent,33:49,Gen.G Black,13,One Mom Four Kittens,4,1,1,3 (1),3 (1),0 (0),1 (0),2 (1),7 (2),12 (11),6 (1)
1285,2022-10-08 18:25:00,Patch 5.06,BO3,https://www.vlr.gg/150176/eq-cerise-vs-clg-red-champions-tour-game-changers-series-iii-north-america-lr1,2,1,1,Haven,38:31,EQ Cerise,7,CLG Red,13,0,2,4 (0),2 (2),3 (2),1 (1),4 (2),7 (5),9 (3),10 (5)
1286,2022-10-08 18:25:00,Patch 5.06,BO3,https://www.vlr.gg/150176/eq-cerise-vs-clg-red-champions-tour-game-changers-series-iii-north-america-lr1,2,1,2,Bind,42:53,EQ Cerise,13,CLG Red,8,1,1,3 (1),3 (1),0 (0),2 (0),3 (1),3 (2),15 (11),13 (5)
1287,2022-10-08 18:25:00,Patch 5.06,BO3,https://www.vlr.gg/150176/eq-cerise-vs-clg-red-champions-tour-game-changers-series-iii-north-america-lr1,2,1,3,Pearl,46:01,EQ Cerise,13,CLG Red,8,1,1,4 (1),3 (1),1 (0),3 (1),6 (5),3 (1),10 (7),12 (5)
1288,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150177/hamboigas-vs-crouchshooters-champions-tour-game-changers-series-iii-north-america-lr1,2,0,1,Icebox,46:39,Hamboigas,13,CROUCHSHOOTERS,7,1,1,3 (1),3 (1),0 (0),3 (1),2 (2),7 (4),15 (10),7 (1)
1289,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150177/hamboigas-vs-crouchshooters-champions-tour-game-changers-series-iii-north-america-lr1,2,0,2,Ascent,35:57,Hamboigas,13,CROUCHSHOOTERS,6,1,1,3 (1),3 (1),1 (0),3 (0),3 (3),4 (2),12 (9),9 (3)
1290,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150178/dart-monkeys-vs-solaire-champions-tour-game-changers-series-iii-north-america-lr1,2,0,1,Breeze,36:08,dart monkeys,13,Solaire,8,1,1,3 (2),3 (2),1 (0),2 (0),5 (3),5 (2),12 (8),11 (4)
1291,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150178/dart-monkeys-vs-solaire-champions-tour-game-changers-series-iii-north-america-lr1,2,0,2,Ascent,28:58,dart monkeys,13,Solaire,3,1,1,3 (1),3 (1),0 (0),2 (0),1 (1),8 (1),12 (11),3 (1)
1292,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150179/team-mystic-venus-vs-whiteout-champions-tour-game-changers-series-iii-north-america-lr1,2,0,1,Bind,26:15,Team Mystic Venus,13,WHITEOUT,1,2,0,2 (2),3 (0),0 (0),3 (0),3 (3),3 (0),9 (8),5 (1)
1293,2022-10-08 18:00:00,Patch 5.06,BO3,https://www.vlr.gg/150179/team-mystic-venus-vs-whiteout-champions-tour-game-changers-series-iii-north-america-lr1,2,0,2,Breeze,35:39,Team Mystic Venus,13,WHITEOUT,4,2,0,2 (2),3 (0),1 (0),1 (1),4 (2),5 (0),10 (9),8 (3)
1294,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150180/tactical-throwers-vs-versionx-champions-tour-game-changers-series-iii-north-america-lr1,1,2,1,Haven,47:15,Tactical Throwers,13,VersionX,9,1,1,3 (1),3 (1),1 (0),2 (0),2 (1),5 (2),16 (11),12 (6)
1295,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150180/tactical-throwers-vs-versionx-champions-tour-game-changers-series-iii-north-america-lr1,1,2,2,Fracture,33:54,Tactical Throwers,4,VersionX,13,0,2,4 (0),2 (2),0 (0),0 (0),4 (2),4 (4),9 (2),11 (7)
1296,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150180/tactical-throwers-vs-versionx-champions-tour-game-changers-series-iii-north-america-lr1,1,2,3,Pearl,38:36,Tactical Throwers,6,VersionX,13,0,2,4 (0),2 (2),2 (1),3 (2),2 (1),4 (3),11 (4),10 (6)
1297,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150181/fake-aussies-vs-26-rising-champions-tour-game-changers-series-iii-north-america-lr1,0,2,1,Haven,18:55,Fake Aussies,0,26 Rising,13,0,2,3 (0),2 (2),1 (0),0 (0),5 (0),2 (2),4 (0),9 (9)
1298,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150181/fake-aussies-vs-26-rising-champions-tour-game-changers-series-iii-north-america-lr1,0,2,2,Ascent,34:50,Fake Aussies,7,26 Rising,13,0,2,4 (1),3 (2),2 (1),2 (1),0 (0),4 (2),14 (5),11 (8)
1299,2022-10-08 17:50:00,Patch 5.06,BO3,https://www.vlr.gg/150182/ariana-grande-perfume-vs-nmg-celeste-champions-tour-game-changers-series-iii-north-america-lr1,2,1,1,Haven,34:59,Ariana Grande Perfume,13,NMG Celeste,8,2,0,2 (2),4 (0),1 (0),3 (0),7 (4),1 (1),11 (7),13 (7)
